"ID";"NederlandseEconomie";"Perioden";"CO2_1";"N2O_2";"CH4_3";"BroeikasgasEquivalent_4";"NOx_5";"SO2_6";"NH3_7";"ZuurEquivalent_8";"CFK12Equivalent_9";"CO_10";"NMVOS_11";"PM10_12"
"185";"300002 ";"1995JJ00";"101741";"25.1";"101.7";"121379";"158.6";"109.4";"4.5";"7.1";"490.7";"265.8";"126";"23.1"
"186";"300002 ";"1996JJ00";"104110";"25.2";"97.2";"125895";"155.8";"104.9";"4.1";"6.9";"371.3";"262.9";"117.7";"19.6"
"187";"300002 ";"1997JJ00";"104747";"25";"73.1";"126706";"144.3";"95.1";"3.7";"6.3";"279.4";"238.6";"103.3";"17.3"
"188";"300002 ";"1998JJ00";"106831";"25.1";"73.2";"129562";"131.6";"85.5";"3.4";"5.7";"185.2";"233.6";"101.8";"15.7"
"189";"300002 ";"1999JJ00";"102960";"23.9";"66.6";"119383";"130";"75.8";"3.1";"5.4";"161.5";"224.3";"97.7";"15.8"
"190";"300002 ";"2000JJ00";"104340";"24.5";"63.9";"118878";"117.8";"62.6";"3.1";"4.7";"152.9";"219.1";"94.8";"14"
"191";"300002 ";"2001JJ00";"107659";"22.5";"63.2";"118985";"116.1";"66.4";"3.2";"4.8";"141.5";"215.8";"78.1";"13.3"
"192";"300002 ";"2002JJ00";"108875";"21.6";"63.1";"120620";"114.5";"60.1";"2.9";"4.5";"121.8";"204.8";"73.5";"13.5"
"193";"300002 ";"2003JJ00";"110366";"21.8";"62.2";"120216";"114.4";"56.1";"3";"4.4";"97.8";"198.7";"67.3";"12.6"
"194";"300002 ";"2004JJ00";"112513";"23.8";"60.9";"122474";"108.1";"58.9";"3.7";"4.4";"92.4";"218.7";"63.6";"11.7"
"195";"300002 ";"2005JJ00";"110958";"24";"63.9";"120839";"106.2";"57.7";"3";"4.3";"86.9";"205.9";"66.3";"10.9"
"196";"300002 ";"2006JJ00";"105875";"23.8";"58.6";"115704";"100.6";"57.9";"2.7";"4.2";"81.3";"210.4";"61.7";"10.8"
"197";"300002 ";"2007JJ00";"108775";"19.5";"61";"117447";"91";"54.8";"2.4";"3.8";"75.5";"199.6";"61.5";"10.3"
"198";"300002 ";"2008JJ00";"108880";"7.3";"62";"113861";"85.5";"47.2";"2.5";"3.5";"69.6";"202.8";"59.6";"9.6"
"199";"300002 ";"2009JJ00";"106282";"7.5";"54.3";"111111";"74.7";"34.8";"2.3";"2.8";"63.7";"164.4";"53.2";"8.6"
"200";"300002 ";"2010JJ00";"112084";"6.6";"58.1";"117088";"76.7";"32.1";"2.1";"2.8";"57.8";"173.2";"60.7";"8.5"
"201";"300002 ";"2011JJ00";"107644";"6.5";"58.2";"112278";"72.8";"32.6";"2.3";"2.7";"52.1";"160.2";"60.3";"8.1"
"202";"300002 ";"2012JJ00";"104341";"6.6";"55.7";"108871";"69.7";"32.8";"2.1";"2.7";"46.4";"153.5";"59.4";"7.7"
"203";"300002 ";"2013JJ00";"102987";"6.6";"51.9";"107229";"67.8";"28.6";"1.8";"2.5";"43.5";"138.5";"54.4";"7.8"
"204";"300002 ";"2014JJ00";"105690";"6.9";"50.9";"109645";"63.9";"28.2";"1.7";"2.4";"41.1";"136.7";"52.8";"7.7"
"205";"300002 ";"2015JJ00";"110954";"7";"50.3";"115070";"63.7";"29.3";"1.8";"2.4";"39";"141.8";"50.2";"7.7"
"206";"300002 ";"2016JJ00";"110689";"6.4";"49";"114512";"59.2";"26.4";"2.1";"2.2";"37.1";"138.7";"44.9";"7.7"
"207";"300002 ";"2017JJ00";"108331";"6.6";"45.8";"112043";"56.1";"24.9";"1.9";"2.1";"35.3";"131.5";"45.8";"7.8"
"208";"300002 ";"2018JJ00";"104172";"6.1";"42.8";"107781";"55.3";"23.4";"2.2";"2.1";"33.8";"133.7";"39";"7.5"
"209";"300002 ";"2019JJ00";"103093";"6";"43.2";"106833";"54.4";"20.8";"2.2";"2";"33.8";"132.9";"38.5";"7.2"
"210";"305700 ";"1990JJ00";"2353";"0";"77.2";"4283";"7.3";"1.7";"0.2";"0.2";"0";"0.6";"15.5";"0"
"211";"305700 ";"1991JJ00";"2340";"0";"77.1";"4267";"7.1";"1.4";"0.1";"0.2";"0";"0.6";"15.1";"0"
"212";"305700 ";"1992JJ00";"2390";"0";"76.8";"4310";"7.6";"1.5";"0.1";"0.2";"0";"0.7";"14.7";"0"
"213";"305700 ";"1993JJ00";"2152";"0";"76.6";"4067";"6.6";"1.7";"0.1";"0.2";"0";"0.8";"14.2";"0"
"214";"305700 ";"1994JJ00";"1940";"0";"76.5";"3854";"5.3";"1.6";"0.1";"0.2";"0";"0.9";"13.8";"0"
"215";"305700 ";"1995JJ00";"2053";"0";"76.6";"3969";"6.7";"1.1";"0.1";"0.2";"0";"1.6";"13.4";"0"
"216";"305700 ";"1996JJ00";"2139";"0";"71";"3915";"6.8";"2.2";"0.1";"0.2";"0";"1.6";"14.9";"1.4"
"217";"305700 ";"1997JJ00";"2308";"0";"46.7";"3477";"6.8";"3.1";"0.1";"0.2";"0";"1.8";"11.4";"1.8"
"218";"305700 ";"1998JJ00";"2342";"0";"47.1";"3521";"7.1";"3.6";"0";"0.3";"0";"1.3";"11.9";"1.1"
"219";"305700 ";"1999JJ00";"2194";"0";"40.1";"3197";"6.9";"0.4";"0";"0.2";"0";"1";"11.3";"2.2"
"220";"305700 ";"2000JJ00";"2197";"0";"37.1";"3124";"6.4";"0.7";"0";"0.2";"0";"0.8";"10.8";"0.1"
"221";"305700 ";"2001JJ00";"2257";"0";"36.6";"3172";"6.7";"0.5";"0";"0.2";"0.3";"0.9";"9.8";"0.1"
"222";"305700 ";"2002JJ00";"2402";"0";"34.9";"3275";"6.6";"0.8";"0";"0.2";"0";"0.6";"8.9";"0.1"
"223";"305700 ";"2003JJ00";"2353";"0";"34.4";"3214";"6";"0.4";"0";"0.1";"0";"0.4";"7.1";"0.3"
"224";"305700 ";"2004JJ00";"2412";"0";"32.4";"3224";"5";"0.4";"0";"0.1";"0";"0.9";"5.7";"0.1"
"225";"305700 ";"2005JJ00";"2467";"0";"35";"3341";"5.2";"0.3";"0";"0.1";"0";"0.7";"6.1";"0"
"226";"305700 ";"2006JJ00";"2375";"0";"31.4";"3163";"5.2";"0.3";"0";"0.1";"0";"0.8";"6";"0.1"
"227";"305700 ";"2007JJ00";"2213";"0";"34";"3073";"5.2";"0.3";"0";"0.1";"0";"1.3";"7.3";"0.1"
"228";"305700 ";"2008JJ00";"2213";"0";"35.7";"3114";"5";"0.3";"0";"0.1";"0";"0.9";"7.2";"0.1"
"229";"305700 ";"2009JJ00";"2165";"0";"30";"2923";"2.7";"0.2";"0";"0.1";"0";"0.2";"6.3";"0"
"230";"305700 ";"2010JJ00";"2361";"0";"33.1";"3196";"4.9";"0.3";"0";"0.1";"0";"0.6";"6.6";"0"
"231";"305700 ";"2011JJ00";"2296";"0";"33.3";"3137";"5.1";"0.4";"0";"0.1";"0";"0.6";"8.5";"0"
"232";"305700 ";"2012JJ00";"2391";"0";"31.5";"3186";"5.5";"0.3";"0";"0.1";"0";"0.6";"7.2";"0"
"233";"305700 ";"2013JJ00";"2435";"0";"28.7";"3161";"5.7";"0.4";"0";"0.1";"0";"0.3";"6.6";"0"
"234";"305700 ";"2014JJ00";"2364";"0";"27.8";"3068";"6.2";"0.3";"0";"0.1";"0";"0.4";"6";"0"
"235";"305700 ";"2015JJ00";"2082";"0";"26.4";"2752";"6";"0.2";"0";"0.1";"0";"0.5";"6.2";"0"
"236";"305700 ";"2016JJ00";"1883";"0";"24.6";"2507";"4.5";"0.1";"0";"0.1";"0";"0.5";"5.3";"0"
"237";"305700 ";"2017JJ00";"1921";"0";"21.2";"2463";"4.1";"0.2";"0";"0.1";"0";"0.6";"4.7";"0"
"238";"305700 ";"2018JJ00";"1833";"0";"18.4";"2305";"3.7";"0.1";"0";"0.1";"0";"0.8";"3";"0"
"239";"305700 ";"2019JJ00";"1841";"0";"17.9";"2299";"3.7";"0.1";"0";"0.1";"0";"0.8";"2.9";"0"
"240";"307500 ";"1990JJ00";"52452";"23.9";"15.2";"68218";"109.8";"118.7";"4.6";"6.4";"3419.5";"296.8";"159.1";"34"
"241";"307500 ";"1991JJ00";"54738";"23.9";"15.4";"69116";"101.6";"98";"4.8";"5.6";"2810.2";"288.6";"149.1";"31.5"
"242";"307500 ";"1992JJ00";"55523";"24";"15.5";"70996";"98.9";"97";"4.9";"5.5";"2201";"279.6";"138.9";"29"
"243";"307500 ";"1993JJ00";"51289";"25.7";"15.3";"67951";"92.1";"96.6";"4.4";"5.3";"1591.7";"270.2";"128.7";"26.5"
"244";"307500 ";"1994JJ00";"51480";"25.2";"15.4";"69818";"88.1";"91.4";"4.6";"5";"982.5";"260.2";"118.4";"24"
"245";"307500 ";"1995JJ00";"48137";"23.9";"15.2";"65249";"85.4";"91.1";"4.1";"4.9";"373.3";"250.1";"110.1";"22.2"
"246";"307500 ";"1996JJ00";"49046";"23.9";"15.4";"68406";"84.6";"83.7";"3.7";"4.7";"283.6";"240.9";"99.6";"17.4"
"247";"307500 ";"1997JJ00";"48559";"23.8";"15.4";"68694";"77.4";"79.7";"3.4";"4.4";"194";"213.9";"88.9";"14.8"
"248";"307500 ";"1998JJ00";"48514";"23.8";"15.4";"69422";"66.2";"71.1";"3.1";"3.8";"102.6";"214.1";"87.8";"13.8"
"249";"307500 ";"1999JJ00";"47478";"22.7";"15.8";"62269";"60.4";"63.5";"2.8";"3.5";"52";"200";"82.1";"13"
"250";"307500 ";"2000JJ00";"47311";"23.2";"15.8";"60275";"56.3";"46.9";"2.7";"2.8";"41.9";"197.5";"81.7";"13.4"
"251";"307500 ";"2001JJ00";"46736";"21.2";"15.5";"56493";"57.1";"50.3";"2.8";"3";"34.3";"195.6";"67.1";"12.6"
"252";"307500 ";"2002JJ00";"46129";"20.4";"16.9";"56337";"55.8";"45.5";"2.5";"2.8";"19.2";"184";"63.5";"12.7"
"253";"307500 ";"2003JJ00";"47220";"20.6";"16.9";"55561";"54.7";"41.7";"2.7";"2.6";"0.1";"177.2";"58.8";"11.7"
"254";"307500 ";"2004JJ00";"47155";"22.5";"17";"55633";"55.2";"47.8";"3.2";"2.9";"0.1";"202.4";"56.3";"11.1"
"255";"307500 ";"2005JJ00";"47078";"22.6";"16.8";"55382";"53.9";"47.4";"2.4";"2.8";"0";"190";"58.9";"10.2"
"256";"307500 ";"2006JJ00";"46264";"22.5";"15.6";"54634";"52.7";"47.8";"2.3";"2.8";"0";"196.5";"54.1";"10.1"
"257";"307500 ";"2007JJ00";"47147";"18.2";"15.7";"54300";"50.6";"45.7";"2";"2.6";"0";"189.1";"53.2";"9.7"
"258";"307500 ";"2008JJ00";"46653";"6";"15.3";"50084";"49.5";"40.5";"2.1";"2.5";"0";"191.4";"51.4";"9"
"259";"307500 ";"2009JJ00";"42715";"6.2";"15.3";"46178";"42.4";"28.1";"1.9";"1.9";"0";"152.2";"45.8";"8.1"
"260";"307500 ";"2010JJ00";"45646";"5.3";"15.9";"49210";"43.1";"25.1";"1.8";"1.8";"0";"159.7";"52.9";"8.1"
"261";"307500 ";"2011JJ00";"45146";"5.3";"16.1";"48347";"42.6";"25.4";"2";"1.8";"0";"148.2";"50.6";"7.9"
"262";"307500 ";"2012JJ00";"44491";"5.3";"15.9";"47634";"40.2";"24.4";"1.7";"1.7";"0";"139.8";"50.5";"7.4"
"263";"307500 ";"2013JJ00";"43708";"5.3";"15.2";"46652";"37.5";"18.8";"1.5";"1.5";"0";"125.6";"45.7";"7.4"
"264";"307500 ";"2014JJ00";"43433";"5.6";"15.5";"46112";"36";"19.3";"1.4";"1.5";"0";"125";"44.9";"7.2"
"265";"307500 ";"2015JJ00";"44499";"5.6";"15.5";"47313";"35.1";"20.4";"1.4";"1.5";"0";"130.3";"42.9";"7.2"
"266";"307500 ";"2016JJ00";"45181";"4.9";"15.6";"47732";"34.9";"20.1";"1.7";"1.5";"0";"127.1";"38.7";"7.3"
"267";"307500 ";"2017JJ00";"46599";"5.2";"15.9";"49143";"33.2";"20.4";"1.6";"1.5";"0";"120.2";"40.1";"7.4"
"268";"307500 ";"2018JJ00";"46398";"4.7";"15.6";"48925";"33.8";"19.2";"1.8";"1.4";"0";"121.9";"35.1";"7.2"
"269";"307500 ";"2019JJ00";"46369";"4.7";"15.6";"49033";"33.2";"17.9";"1.8";"1.4";"0";"121.2";"34.6";"7"
"270";"307610 ";"1990JJ00";"4591";"0";"0.7";"4611";"11.3";"1.9";"0.2";"0.3";"286.7";"12.3";"12.9";"4.9"
"271";"307610 ";"1991JJ00";"4663";"0";"0.7";"4684";"9.1";"1.2";"0.3";"0.3";"253";"13.4";"12.8";"4.4"
"272";"307610 ";"1992JJ00";"4954";"0";"0.8";"4977";"10.3";"1.4";"0.3";"0.3";"219.3";"14.2";"12.6";"3.8"
"273";"307610 ";"1993JJ00";"5101";"0";"0.8";"5126";"10.3";"1.6";"0.3";"0.3";"185.6";"15";"12.4";"3.3"
"274";"307610 ";"1994JJ00";"5012";"0";"0.8";"5036";"9.4";"1";"0.4";"0.3";"151.8";"15.5";"12.2";"2.8"
"275";"307610 ";"1995JJ00";"4656";"0";"0.8";"4712";"9";"0.9";"0.3";"0.2";"118.1";"16.1";"12.5";"2.7"
"276";"307610 ";"1996JJ00";"4947";"0";"0.9";"5012";"9.1";"0.7";"0.3";"0.2";"89.1";"17.1";"10.9";"2.4"
"277";"307610 ";"1997JJ00";"4788";"0";"0.9";"4856";"7.1";"0.3";"0.2";"0.2";"60.1";"13.5";"10.2";"2.1"
"278";"307610 ";"1998JJ00";"4859";"0";"0.9";"4931";"7.1";"0.5";"0.3";"0.2";"31";"13.6";"11.4";"2.1"
"279";"307610 ";"1999JJ00";"5154";"0";"1";"5208";"7.4";"0.5";"0.3";"0.2";"2";"14.2";"10.5";"2.2"
"280";"307610 ";"2000JJ00";"4938";"0";"1";"5176";"7.1";"0.6";"0.2";"0.2";"1.7";"13.9";"11.9";"2.3"
"281";"307610 ";"2001JJ00";"4747";"0";"1";"5045";"6.8";"1.2";"0.4";"0.2";"1.1";"14.2";"11.4";"2.2"
"282";"307610 ";"2002JJ00";"4872";"0";"1";"5223";"6.6";"0.9";"0.4";"0.2";"0.5";"14.4";"10.5";"2.2"
"283";"307610 ";"2003JJ00";"4700";"0";"1";"5110";"5.7";"0.5";"0.5";"0.2";"0.1";"11.9";"10.6";"2.1"
"284";"307610 ";"2004JJ00";"4604";"0";"0.9";"5066";"6.2";"0.6";"0.5";"0.2";"0";"13.3";"10.5";"2.1"
"285";"307610 ";"2005JJ00";"4497";"0";"0.9";"5012";"6.5";"0.5";"0.4";"0.2";"0";"13.8";"11";"2.1"
"286";"307610 ";"2006JJ00";"4290";"0";"0.9";"4855";"6.2";"0.7";"0.4";"0.2";"0";"13";"10.5";"2"
"287";"307610 ";"2007JJ00";"4332";"0";"0.9";"4954";"6.2";"0.8";"0.3";"0.2";"0";"9.8";"10.9";"2"
"288";"307610 ";"2008JJ00";"4162";"0";"0.8";"4842";"5.9";"0.7";"0.4";"0.2";"0";"10.9";"10.8";"2"
"289";"307610 ";"2009JJ00";"3781";"0";"0.8";"4507";"5.3";"0.5";"0.4";"0.2";"0";"11.3";"10.7";"1.9"
"290";"307610 ";"2010JJ00";"3932";"0";"0.8";"4681";"5.2";"0.5";"0.5";"0.2";"0";"10.7";"10.7";"1.9"
"291";"307610 ";"2011JJ00";"4126";"0";"0.8";"4892";"4.8";"0.4";"0.5";"0.1";"0";"10.6";"10.8";"1.8"
"292";"307610 ";"2012JJ00";"3950";"0";"0.6";"4739";"4.5";"0.5";"0.4";"0.1";"0";"10.3";"10.1";"1.8"
"293";"307610 ";"2013JJ00";"3840";"0";"0.6";"4440";"4.3";"0.4";"0.4";"0.1";"0";"10.7";"9.3";"1.8"
"294";"307610 ";"2014JJ00";"4063";"0";"0.6";"4563";"4.3";"0.5";"0.3";"0.1";"0";"11.2";"9.1";"1.9"
"295";"307610 ";"2015JJ00";"4126";"0";"0.8";"4678";"4";"0.5";"0.4";"0.1";"0";"10.8";"9";"1.9"
"296";"307610 ";"2016JJ00";"4216";"0";"0.9";"4664";"3.7";"0.4";"0.4";"0.1";"0";"10.7";"8.3";"2"
"297";"307610 ";"2017JJ00";"4401";"0";"0.8";"4848";"3.4";"0.5";"0.4";"0.1";"0";"11";"8.4";"2"
"298";"307610 ";"2018JJ00";"4432";"0";"0.8";"4880";"3.5";"0.4";"0.4";"0.1";"0";"11.4";"8.6";"2.1"
"299";"307610 ";"2019JJ00";"4788";"0";"0.9";"5237";"3.4";"0.4";"0.4";"0.1";"0";"11.5";"8.7";"2.1"
"300";"312505 ";"1990JJ00";"311";"0";"0";"312";"0.9";"0.8";"0";"0";"0";"0.9";"2.6";"0.3"
"301";"312505 ";"1991JJ00";"321";"0";"0";"322";"0.8";"0.4";"0";"0";"0";"0.9";"2.2";"0.3"
"302";"312505 ";"1992JJ00";"340";"0";"0";"342";"0.6";"0.2";"0";"0";"0";"1";"1.9";"0.2"
"303";"312505 ";"1993JJ00";"344";"0";"0";"345";"0.6";"0.1";"0";"0";"0";"1";"1.5";"0.2"
"304";"312505 ";"1994JJ00";"342";"0";"0";"343";"0.6";"0";"0";"0";"0";"1";"1.1";"0.2"
"305";"312505 ";"1995JJ00";"423";"0";"0";"424";"0.6";"0";"0";"0";"0";"1.2";"0.8";"0.1"
"306";"312505 ";"1996JJ00";"380";"0";"0";"381";"0.6";"0";"0";"0";"0";"1.2";"0.9";"0"
"307";"312505 ";"1997JJ00";"424";"0";"0";"426";"0.7";"0";"0";"0";"0";"1.1";"0.7";"0"
"308";"312505 ";"1998JJ00";"446";"0";"0";"447";"0.5";"0";"0";"0";"0";"1.3";"0.7";"0"
"309";"312505 ";"1999JJ00";"368";"0";"0";"369";"0.5";"0";"0";"0";"0";"1.8";"0.8";"0"
"310";"312505 ";"2000JJ00";"406";"0";"0";"407";"0.5";"0";"0";"0";"0";"1.9";"0.7";"0.1"
"311";"312505 ";"2001JJ00";"337";"0";"0";"338";"0.5";"0";"0";"0";"0";"1.9";"0.7";"0.1"
"312";"312505 ";"2002JJ00";"332";"0";"0";"333";"0.5";"0";"0";"0";"0";"1.9";"0.7";"0.1"
"313";"312505 ";"2003JJ00";"332";"0";"0";"333";"0.4";"0";"0";"0";"0";"1.9";"0.6";"0.1"
"314";"312505 ";"2004JJ00";"289";"0";"0";"290";"0.4";"0";"0";"0";"0";"1.6";"0.6";"0.1"
"315";"312505 ";"2005JJ00";"250";"0";"0";"251";"0.4";"0";"0";"0";"0";"1.6";"0.6";"0.1"
"316";"312505 ";"2006JJ00";"220";"0";"0";"221";"0.3";"0";"0";"0";"0";"1.4";"0.7";"0.1"
"317";"312505 ";"2007JJ00";"217";"0";"0";"218";"0.3";"0";"0";"0";"0";"0.8";"0.6";"0.1"
"318";"312505 ";"2008JJ00";"214";"0";"0";"215";"0.3";"0";"0";"0";"0";"0.8";"0.6";"0.1"
"319";"312505 ";"2009JJ00";"204";"0";"0";"205";"0.3";"0";"0";"0";"0";"0.8";"0.5";"0.1"
"320";"312505 ";"2010JJ00";"226";"0";"0";"227";"0.3";"0";"0";"0";"0";"1.1";"0.5";"0.1"
"321";"312505 ";"2011JJ00";"198";"0";"0";"199";"0.3";"0";"0";"0";"0";"1.1";"0.5";"0.1"
"322";"312505 ";"2012JJ00";"204";"0";"0";"205";"0.3";"0";"0";"0";"0";"0.8";"0.5";"0.1"
"323";"312505 ";"2013JJ00";"190";"0";"0";"191";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"324";"312505 ";"2014JJ00";"156";"0";"0";"157";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"325";"312505 ";"2015JJ00";"155";"0";"0";"156";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"326";"312505 ";"2016JJ00";"166";"0";"0";"167";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"327";"312505 ";"2017JJ00";"171";"0";"0";"172";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"328";"312505 ";"2018JJ00";"165";"0";"0";"166";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"329";"312505 ";"2019JJ00";"154";"0";"0";"155";"0.2";"0";"0";"0";"0";"0.5";"0.5";"0.1"
"330";"315810 ";"1990JJ00";"1935";"0";"0.2";"1943";"4.2";"0.3";"0.1";"0.1";"50.2";"3.8";"22.3";"1"
"331";"315810 ";"1991JJ00";"2037";"0";"0.2";"2046";"4.4";"0.3";"0.1";"0.1";"40.2";"4.3";"21.4";"1"
"332";"315810 ";"1992JJ00";"2013";"0";"0.2";"2022";"4";"0.2";"0.1";"0.1";"30.1";"4.8";"20.5";"0.9"
"333";"315810 ";"1993JJ00";"1949";"0";"0.2";"1958";"4";"0.2";"0.1";"0.1";"20.1";"5.1";"19.6";"0.9"
"334";"315810 ";"1994JJ00";"1970";"0";"0.3";"1979";"3.8";"0.2";"0.1";"0.1";"10";"5.5";"18.7";"0.9"
"335";"315810 ";"1995JJ00";"1635";"0";"0.2";"1643";"3.8";"0.1";"0.1";"0.1";"0";"5.7";"18.3";"0.9"
"336";"315810 ";"1996JJ00";"1761";"0";"0.2";"1770";"3.3";"0.1";"0";"0.1";"0";"5.6";"15.9";"0.1"
"337";"315810 ";"1997JJ00";"1774";"0";"0.2";"1783";"3.3";"0.1";"0.1";"0.1";"0";"3.9";"15.6";"0.1"
"338";"315810 ";"1998JJ00";"1763";"0";"0.2";"1771";"3.1";"0.1";"0.1";"0.1";"0";"4.5";"18.2";"0.1"
"339";"315810 ";"1999JJ00";"1798";"0";"0.2";"1806";"2.5";"0.1";"0";"0.1";"0";"4.5";"15.8";"0.1"
"340";"315810 ";"2000JJ00";"1849";"0";"0.2";"1857";"3.4";"0.1";"0.1";"0.1";"0";"5";"14.5";"0.9"
"341";"315810 ";"2001JJ00";"1717";"0";"0.2";"1725";"3.1";"0";"0.1";"0.1";"0";"5.1";"11.1";"0.8"
"342";"315810 ";"2002JJ00";"1771";"0";"0.2";"1779";"3.2";"0.1";"0";"0.1";"0.1";"5.6";"10.7";"0.8"
"343";"315810 ";"2003JJ00";"1695";"0";"0.2";"1703";"3.2";"0.1";"0";"0.1";"0";"4.8";"8.1";"0.8"
"344";"315810 ";"2004JJ00";"1716";"0";"0.2";"1724";"3.2";"0.1";"0.1";"0.1";"0";"6";"7.1";"0.8"
"345";"315810 ";"2005JJ00";"1964";"0";"0.2";"1972";"3";"0.1";"0.1";"0.1";"0";"6.8";"6.7";"0.7"
"346";"315810 ";"2006JJ00";"1884";"0";"0.2";"1893";"2.8";"0.1";"0.1";"0.1";"0";"6.2";"6";"0.7"
"347";"315810 ";"2007JJ00";"1629";"0";"0.2";"1637";"2.7";"0.1";"0.1";"0.1";"0";"4.5";"5.6";"0.6"
"348";"315810 ";"2008JJ00";"1446";"0";"0.2";"1455";"2.5";"0.1";"0.1";"0.1";"0";"4.6";"5.1";"0.6"
"349";"315810 ";"2009JJ00";"1363";"0";"0.2";"1372";"2.3";"0";"0";"0.1";"0";"4.5";"4.7";"0.6"
"350";"315810 ";"2010JJ00";"1457";"0";"0.2";"1465";"2.2";"0";"0";"0.1";"0";"4.9";"4.4";"0.5"
"351";"315810 ";"2011JJ00";"1356";"0";"0.2";"1364";"2.2";"0";"0";"0.1";"0";"4.2";"4.1";"0.5"
"352";"315810 ";"2012JJ00";"1341";"0";"0.2";"1349";"2.1";"0";"0";"0";"0";"3.9";"4.3";"0.5"
"353";"315810 ";"2013JJ00";"1221";"0";"0.2";"1229";"2";"0";"0";"0";"0";"3.5";"4.3";"0.5"
"354";"315810 ";"2014JJ00";"1262";"0";"0.2";"1270";"1.9";"0";"0";"0";"0";"3.7";"3.9";"0.5"
"355";"315810 ";"2015JJ00";"1128";"0";"0.2";"1135";"1.7";"0";"0";"0";"0";"3.6";"3.6";"0.5"
"356";"315810 ";"2016JJ00";"1139";"0";"0.2";"1147";"1.7";"0";"0";"0";"0";"3.6";"4";"0.5"
"357";"315810 ";"2017JJ00";"1117";"0";"0.2";"1123";"1.6";"0";"0";"0";"0";"3.2";"3.9";"0.5"
"358";"315810 ";"2018JJ00";"1022";"0";"0.2";"1028";"1.4";"0";"0";"0";"0";"3.1";"0.8";"0.5"
"359";"315810 ";"2019JJ00";"1195";"0";"0.2";"1202";"1.4";"0";"0";"0";"0";"2.9";"0.8";"0.5"
"360";"315800 ";"1990JJ00";"179";"0";"0";"181";"0.5";"0";"0";"0";"0";"1";"5.3";"0.5"
"361";"315800 ";"1991JJ00";"200";"0";"0";"202";"0.4";"0";"0";"0";"0";"1.2";"4.9";"0.5"
"362";"315800 ";"1992JJ00";"200";"0";"0";"202";"0.4";"0";"0";"0";"0";"1.4";"4.6";"0.5"
"363";"315800 ";"1993JJ00";"185";"0";"0";"187";"0.5";"0";"0";"0";"0";"1.5";"4.3";"0.5"
"364";"315800 ";"1994JJ00";"190";"0";"0";"193";"0.5";"0";"0";"0";"0";"1.6";"3.9";"0.5"
"365";"315800 ";"1995JJ00";"174";"0";"0";"176";"0.5";"0";"0";"0";"0";"1.7";"4";"0.4"
"366";"315800 ";"1996JJ00";"181";"0";"0";"183";"0.5";"0";"0";"0";"0";"1.7";"3.1";"0"
"367";"315800 ";"1997JJ00";"178";"0";"0";"180";"0.5";"0";"0";"0";"0";"1.5";"3.1";"0"
"368";"315800 ";"1998JJ00";"180";"0";"0";"182";"0.6";"0";"0";"0";"0";"1.7";"5.6";"0"
"369";"315800 ";"1999JJ00";"190";"0";"0";"193";"0.6";"0";"0";"0";"0";"2.2";"4.3";"0"
"370";"315800 ";"2000JJ00";"220";"0";"0";"222";"0.5";"0";"0";"0";"0";"1.6";"3.1";"0.4"
"371";"315800 ";"2001JJ00";"174";"0";"0";"176";"0.5";"0";"0";"0";"0";"1.6";"3.1";"0.4"
"372";"315800 ";"2002JJ00";"177";"0";"0";"179";"0.4";"0";"0";"0";"0";"1.5";"2.8";"0.4"
"373";"315800 ";"2003JJ00";"163";"0";"0";"165";"0.4";"0";"0";"0";"0";"0.8";"2.2";"0.4"
"374";"315800 ";"2004JJ00";"167";"0";"0";"169";"0.5";"0";"0";"0";"0";"2";"1.4";"0.4"
"375";"315800 ";"2005JJ00";"174";"0";"0";"176";"0.5";"0";"0";"0";"0";"1.9";"0.9";"0.3"
"376";"315800 ";"2006JJ00";"170";"0";"0";"172";"0.5";"0";"0";"0";"0";"1.7";"0.9";"0.3"
"377";"315800 ";"2007JJ00";"161";"0";"0";"163";"0.5";"0";"0";"0";"0";"1.3";"0.7";"0.3"
"378";"315800 ";"2008JJ00";"166";"0";"0";"169";"0.5";"0";"0";"0";"0";"1.4";"0.7";"0.3"
"379";"315800 ";"2009JJ00";"186";"0";"0";"188";"0.5";"0";"0";"0";"0";"1.6";"0.6";"0.2"
"380";"315800 ";"2010JJ00";"178";"0";"0";"180";"0.4";"0";"0";"0";"0";"1.6";"0.5";"0.2"
"381";"315800 ";"2011JJ00";"179";"0";"0";"182";"0.4";"0";"0";"0";"0";"1.5";"0.5";"0.2"
"382";"315800 ";"2012JJ00";"166";"0";"0";"168";"0.4";"0";"0";"0";"0";"1.2";"0.5";"0.2"
"383";"315800 ";"2013JJ00";"146";"0";"0";"148";"0.4";"0";"0";"0";"0";"0.9";"0.4";"0.2"
"384";"315800 ";"2014JJ00";"183";"0";"0";"185";"0.4";"0";"0";"0";"0";"1.2";"0.4";"0.2"
"385";"315800 ";"2015JJ00";"175";"0";"0";"177";"0.3";"0";"0";"0";"0";"1.1";"0.3";"0.2"
