"ID";"NederlandseEconomie";"Perioden";"CO2_1";"N2O_2";"CH4_3";"BroeikasgasEquivalent_4";"NOx_5";"SO2_6";"NH3_7";"ZuurEquivalent_8";"CFK12Equivalent_9";"CO_10";"NMVOS_11";"PM10_12"
"41";"1050010";"2001JJ00";"41287";"0.9";"24.3";"42385";"82.7";"1.1";"15.3";"2.7";"34.6";"456.2";"96.8";"9"
"42";"1050010";"2002JJ00";"40798";"0.9";"23.6";"41854";"78.3";"1.2";"15.4";"2.6";"30.9";"457";"92.1";"8.9"
"43";"1050010";"2003JJ00";"41499";"0.9";"23.9";"42589";"74.4";"0.9";"15.3";"2.5";"27.6";"460.2";"88.6";"8.9"
"44";"1050010";"2004JJ00";"40885";"0.9";"23.1";"42004";"69.4";"0.9";"15.2";"2.4";"24.2";"458.9";"84.1";"8.7"
"45";"1050010";"2005JJ00";"40019";"0.9";"22.7";"41135";"65.7";"0.8";"15.6";"2.4";"21.2";"453.6";"82.6";"8.4"
"46";"1050010";"2006JJ00";"40031";"0.9";"22.6";"41172";"61.2";"0.8";"15.2";"2.2";"18.3";"447";"81.3";"8.4"
"47";"1050010";"2007JJ00";"37901";"0.8";"20.9";"39018";"57.5";"0.8";"14.6";"2.1";"15.3";"442.5";"82";"8.2"
"48";"1050010";"2008JJ00";"40227";"0.8";"22.6";"41406";"56.6";"0.6";"13.8";"2.1";"12.3";"438.8";"80.5";"8"
"49";"1050010";"2009JJ00";"40282";"0.8";"22.6";"41470";"54.7";"0.6";"13.6";"2";"9.3";"434.1";"79";"7.9"
"50";"1050010";"2010JJ00";"43389";"0.8";"25";"44626";"53.7";"0.6";"13.9";"2";"6.4";"427";"78.3";"7.7"
"51";"1050010";"2011JJ00";"38367";"0.7";"21.3";"39527";"49";"0.6";"14.1";"1.9";"3.4";"420.2";"75.8";"7.3"
"52";"1050010";"2012JJ00";"39380";"0.7";"22";"40532";"46.9";"0.6";"14.3";"1.9";"0.4";"408.6";"75.8";"7.1"
"53";"1050010";"2013JJ00";"40656";"0.7";"22.8";"41822";"47.1";"0.6";"14.8";"1.9";"0";"396.7";"74.9";"6.8"
"54";"1050010";"2014JJ00";"35590";"0.7";"19.1";"36656";"44.5";"0.5";"14.2";"1.8";"0";"387.8";"73.3";"6.6"
"55";"1050010";"2015JJ00";"36473";"0.7";"19.7";"37554";"44.1";"0.5";"14.1";"1.8";"0";"380.5";"72";"6.3"
"56";"1050010";"2016JJ00";"37060";"0.7";"20.1";"38155";"43.1";"0.5";"14.5";"1.8";"0";"386.8";"71.5";"6.2"
"57";"1050010";"2017JJ00";"36531";"0.7";"19.7";"37606";"41.4";"0.5";"14.2";"1.7";"0";"381.5";"71.1";"6.1"
"58";"1050010";"2018JJ00";"36204";"0.7";"19.5";"37246";"40";"0.5";"14.6";"1.7";"0";"372.1";"70.1";"5.9"
"59";"1050010";"2019JJ00";"35656";"0.7";"18.9";"36681";"39.5";"0.5";"14.6";"1.7";"0";"367.8";"69.9";"5.8"
"60";"B000580";"1990JJ00";"15078";"0.2";"6.2";"15300";"138.8";"5.1";"0.8";"3.2";"0";"620.2";"134.7";"6.7"
"61";"B000580";"1991JJ00";"15206";"0.3";"5.2";"15427";"129.3";"4.9";"1.1";"3";"0";"542.5";"113.1";"6.1"
